FileID,Emitter,Addressee,Context,Emitter pre-vocalization action,Addressee pre-vocalization action,Emitter post-vocalization action,Addressee post-vocalization action,Start sample,End sample,File Name
495,0,0,11,0,0,0,0,1,336720,86.wav
497,0,0,11,0,0,0,0,1,328528,87.wav
624,107,0,12,2,2,3,3,1,328528,88.wav
703,0,0,12,2,2,3,3,1,377680,89.wav
755,0,0,12,0,0,0,0,1,975696,90.wav
786,0,0,12,0,0,0,0,1,598864,91.wav
809,-119,0,3,2,2,3,3,1,508752,92.wav
816,-110,0,3,2,2,3,3,1,426832,93.wav
829,0,0,11,2,2,3,3,1,582480,94.wav
872,0,0,11,2,2,3,3,1,779088,95.wav
891,-110,0,3,2,2,3,3,1,729936,96.wav
1249,0,0,6,0,0,0,0,1,336720,97.wav
1250,0,0,6,0,0,0,0,1,336720,98.wav
1259,0,0,6,0,0,0,0,1,353104,99.wav
1260,0,0,6,0,0,0,0,242046,557904,100.wav
1273,0,0,11,0,0,0,0,1,369488,101.wav
1275,0,0,11,0,0,0,0,161111,1024848,102.wav
1281,0,0,12,0,0,0,0,125206,590672,103.wav
1284,0,0,11,0,0,0,0,87697,418640,104.wav
1286,0,0,12,0,0,0,0,1,836432,105.wav
1287,0,0,12,0,0,0,0,1,361296,106.wav
1292,0,0,12,0,0,0,0,157945,967504,107.wav
1294,0,0,12,0,0,0,0,1,402256,108.wav
1297,0,0,12,0,0,0,0,1,336720,109.wav
1298,0,0,12,0,0,0,0,1,328528,110.wav
1315,0,0,12,0,0,0,0,343153,656208,111.wav
1316,0,0,12,0,0,0,0,1,656208,112.wav
1318,0,0,12,0,0,0,0,1,648016,113.wav
1323,0,0,12,2,2,3,3,112753,475984,114.wav
1326,0,0,11,0,0,0,0,1,361296,115.wav
1329,0,0,12,0,0,0,0,1,353104,116.wav
1331,0,0,12,0,0,0,0,1,353104,117.wav
1333,0,0,12,0,0,0,0,1,664400,118.wav
1355,0,0,12,0,0,0,0,277193,631632,119.wav
1363,0,0,12,0,0,0,0,1,353104,120.wav
1365,0,0,12,0,0,0,0,1,361296,121.wav
1367,0,0,12,0,0,0,0,1,361296,122.wav
1368,0,0,12,0,0,0,0,1,353104,123.wav
1371,0,0,12,0,0,0,0,1,1016656,124.wav
1375,0,0,12,0,0,0,0,1,361296,125.wav
1377,0,0,12,0,0,0,0,1,344912,126.wav
1378,0,0,12,0,0,0,0,216724,631632,127.wav
1380,0,0,12,0,0,0,0,82276,394064,128.wav
1382,0,0,12,0,0,0,0,51278,533328,129.wav
1383,0,0,12,0,0,0,0,1,762704,130.wav
1410,0,0,12,0,0,0,0,72749,721744,131.wav
1415,0,0,12,0,0,0,0,81349,729936,132.wav
1419,0,0,12,0,0,0,0,1,353104,133.wav
1423,0,0,12,0,0,0,0,1,336720,134.wav
1424,0,0,12,0,0,0,0,1,435024,135.wav
1427,0,0,12,0,0,0,0,95371,475984,136.wav
1455,0,0,12,1,2,3,3,153404,574288,137.wav
1470,0,0,12,0,0,0,0,1,1123152,138.wav
1476,0,0,12,0,0,0,0,75789,328528,139.wav
1481,0,0,12,0,0,0,0,229651,820048,140.wav
1502,0,0,12,0,0,0,0,1,336720,141.wav
1507,0,0,12,0,0,0,0,1,361296,142.wav
1510,0,0,12,0,0,0,0,1,607056,143.wav
1511,0,0,12,0,0,0,0,1,377680,144.wav
1513,0,0,6,0,0,0,0,1,328528,145.wav
1514,0,0,6,0,0,0,0,1,377680,146.wav
1515,0,0,12,0,0,0,0,1,320336,147.wav
1516,0,0,12,0,0,0,0,1,328528,148.wav
1520,0,0,12,0,0,0,0,1,377680,149.wav
1525,0,0,12,0,0,0,0,1,852816,150.wav
1526,0,0,12,0,0,0,0,1,328528,151.wav
1532,0,0,1,0,0,0,0,1,344912,152.wav
1533,0,0,1,0,0,0,0,1,344912,153.wav
1534,0,0,1,0,0,0,0,1,344912,154.wav
1612,0,0,11,0,0,0,0,1,377680,155.wav
1615,0,0,11,0,0,0,0,186711,623440,156.wav
1630,0,0,11,0,0,0,0,1,623440,157.wav
1632,0,0,11,0,0,0,0,1,426832,158.wav
1633,-119,0,3,2,2,3,3,1,394064,159.wav
1637,0,0,11,0,0,0,0,114142,590672,160.wav
1638,-102,0,3,2,2,3,3,1,320336,161.wav
1642,-110,0,3,2,2,3,3,1,336720,162.wav
1643,-102,0,3,2,2,3,3,1,320336,163.wav
1646,-116,0,3,2,2,3,3,1,320336,164.wav
1650,-110,0,3,2,2,3,2,1,492368,165.wav
1651,-110,0,3,3,2,4,3,1,328528,166.wav
1652,-109,0,11,2,1,3,3,1,607056,167.wav
1669,110,0,0,2,2,3,2,1,369488,168.wav
1681,-110,0,4,2,2,3,3,1,557904,169.wav
1682,-110,0,4,2,2,3,2,1,811856,170.wav
1684,-107,0,11,2,2,3,3,1,320336,171.wav
1685,0,0,11,0,0,0,0,1,729936,172.wav
1687,-112,0,11,2,2,3,3,80561,746320,173.wav
1696,-102,0,3,2,2,2,3,1,607056,174.wav
1697,0,0,11,0,0,0,0,1,754512,175.wav
1699,-102,0,3,2,2,3,3,1,516944,176.wav
1703,-112,0,3,2,2,3,3,1,508752,177.wav
1705,112,0,3,2,2,3,3,104457,467792,178.wav
1706,-102,0,3,2,2,3,3,1,377680,179.wav
1707,-109,0,3,2,2,4,3,1,328528,180.wav
1709,0,0,3,0,0,0,0,114583,582480,181.wav
1717,-119,0,11,2,3,3,2,1,336720,182.wav
1718,0,0,3,0,0,0,0,1,344912,183.wav
1719,0,0,3,0,0,0,0,1,729936,184.wav
1720,0,0,3,0,0,0,0,210657,566096,185.wav
1724,0,0,3,0,0,0,0,1,336720,186.wav
1725,0,0,3,0,0,0,0,1,492368,187.wav
1729,-118,0,3,2,2,3,3,1,648016,188.wav
1731,-112,0,3,2,2,3,3,144554,1196880,189.wav
1733,-102,0,3,2,2,3,3,1,320336,190.wav
1734,-102,0,3,2,2,3,3,1,385872,191.wav
1736,-114,0,11,2,2,3,3,1,361296,192.wav
1739,-110,0,3,2,2,3,3,1,426832,193.wav
1740,-110,0,11,2,2,3,3,1,369488,194.wav
1741,-110,0,11,2,2,3,4,190369,475984,195.wav
1742,-116,0,11,2,3,3,2,1,549712,196.wav
1743,-110,0,11,2,2,3,3,80186,402256,197.wav
1744,-110,0,11,2,2,3,3,107533,385872,198.wav
1750,-110,0,11,2,2,3,3,1,336720,199.wav
1751,0,0,6,0,0,0,0,1,344912,200.wav
1758,-101,0,3,2,2,3,3,1,369488,201.wav
1760,-101,0,3,2,2,3,3,1,344912,202.wav
1762,0,0,11,0,0,0,0,1,336720,203.wav
1763,-101,0,3,2,2,3,3,1,770896,204.wav
1766,-118,0,3,2,2,3,3,1,328528,205.wav
1767,-110,0,3,2,2,3,3,1,320336,206.wav
1768,0,0,11,0,0,0,0,306000,320336,207.wav
1769,0,0,11,0,0,0,0,1,492368,208.wav
1775,-118,0,3,2,2,3,3,1,729936,209.wav
1776,-101,0,3,2,2,3,3,1,451408,210.wav
1779,-101,0,3,2,2,3,3,1,754512,211.wav
1780,-118,0,3,2,3,3,3,1,426832,212.wav
1781,-109,0,11,2,2,3,3,1,328528,213.wav
1782,-118,0,3,2,2,3,3,1,418640,214.wav
1783,-118,0,3,2,2,3,3,1,525136,215.wav
1784,-118,0,3,2,2,3,3,1,328528,216.wav
1788,-110,0,11,2,2,3,3,1,328528,217.wav
1791,0,0,3,0,0,0,0,1,459600,218.wav
1793,-118,0,3,2,2,3,3,1,492368,219.wav
1794,-118,0,3,2,2,3,3,155594,934736,220.wav
1803,0,0,3,0,0,0,0,1,426832,221.wav
1804,0,0,3,0,0,0,0,1,410448,222.wav
1807,0,0,3,0,0,0,0,1,328528,223.wav
1841,0,0,11,0,0,0,0,280298,1188688,224.wav
1845,0,0,11,0,0,0,0,1,344912,225.wav
1847,-101,0,11,3,2,3,3,1,435024,226.wav
1857,0,0,11,0,0,0,0,224181,598864,227.wav
1864,0,0,12,0,0,0,0,1,713552,228.wav
1866,0,0,12,0,0,0,0,133924,549712,229.wav
1872,118,0,3,2,0,3,4,1,484176,230.wav
1991,118,0,12,2,3,3,4,1,566096,231.wav
2147,-110,0,11,2,1,3,3,1,590672,232.wav
2181,110,0,3,2,2,3,3,1,328528,233.wav
2233,109,0,11,2,2,3,3,1,508752,234.wav
2345,-119,0,11,2,2,3,3,1,328528,235.wav
2351,0,0,11,0,0,0,0,202931,713552,236.wav
2353,0,0,11,0,0,0,0,166677,459600,237.wav
2368,0,0,11,0,0,0,0,1,385872,238.wav
2374,0,0,11,0,0,0,0,158061,877392,239.wav
2391,0,0,11,0,0,0,0,1,443216,240.wav
2398,0,0,11,0,0,0,0,1,631632,241.wav
2401,0,0,11,0,0,0,0,1,729936,242.wav
2403,0,0,11,0,0,0,0,1,697168,243.wav
2405,0,0,11,0,0,0,0,1,336720,244.wav
2409,0,0,11,0,0,0,0,196369,541520,245.wav
2411,0,0,11,0,0,0,0,1,402256,246.wav
2413,0,0,11,0,0,0,0,1,344912,247.wav
2415,0,0,11,0,0,0,0,1,377680,248.wav
2420,0,0,11,0,0,0,0,1,394064,249.wav
2442,0,0,11,0,0,0,0,1,492368,250.wav
2449,0,0,11,0,0,0,0,1,1033040,251.wav
2454,0,0,11,0,0,0,0,1,402256,252.wav
2460,0,0,11,0,0,0,0,1,418640,253.wav
2464,0,0,11,0,0,0,0,1,353104,254.wav
2482,0,0,11,0,0,0,0,1,435024,255.wav
2488,0,0,11,0,0,0,0,1,377680,256.wav
2499,0,0,11,0,0,0,0,1,500560,257.wav
2501,0,0,11,0,0,0,0,156139,435024,258.wav
2503,0,0,11,0,0,0,0,1,779088,259.wav
2511,0,0,11,0,0,0,0,1,320336,260.wav
2513,0,0,11,0,0,0,0,1,328528,261.wav
2521,0,0,11,0,0,0,0,1,344912,262.wav
2522,0,0,11,0,0,0,0,1,402256,263.wav
2532,0,0,11,0,0,0,0,1,320336,264.wav
2545,0,0,12,0,0,0,0,1,861008,265.wav
2547,0,0,12,0,0,0,0,1,1123152,266.wav
2549,0,0,12,0,0,0,0,1,426832,267.wav
2551,0,0,12,0,0,0,0,1,394064,268.wav
2553,0,0,12,0,0,0,0,1,377680,269.wav
2555,0,0,12,0,0,0,0,1,369488,270.wav
2556,0,0,12,0,0,0,0,1,729936,271.wav
2558,0,0,12,0,0,0,0,1,328528,272.wav
2559,0,0,12,0,0,0,0,1,320336,273.wav
2565,0,0,12,0,0,0,0,171025,533328,274.wav
2568,0,0,12,0,0,0,0,1,328528,275.wav
2574,0,0,12,2,2,3,3,1,484176,276.wav
2587,-112,0,12,2,2,3,3,1,398691,277.wav
2587,-107,0,12,2,2,3,3,398692,770896,278.wav
2623,0,0,6,0,0,0,0,1,541520,279.wav
2625,-112,0,12,2,2,3,3,1,336720,280.wav
2627,-112,0,12,2,2,3,3,1,320336,281.wav
2630,-112,0,12,2,2,3,3,1,361296,282.wav
2638,112,0,12,2,2,3,3,1,402256,283.wav
2640,112,0,12,2,2,3,3,1,828240,284.wav
2642,-112,0,12,2,2,3,3,1,344912,285.wav
2644,-112,0,12,2,2,3,3,1,328528,286.wav
2647,-112,0,12,2,2,3,3,1,1049424,287.wav
2654,-118,0,12,2,2,3,3,1,336720,288.wav
2655,-118,0,12,2,2,3,3,1,959312,289.wav
2665,-112,0,12,2,2,3,3,1,549712,290.wav
2667,-112,0,12,2,2,3,3,1,361296,291.wav
2680,-119,0,3,2,2,3,3,1,443216,292.wav
2688,-110,0,3,2,2,3,3,1,344912,293.wav
2689,110,0,3,2,2,3,3,1,320336,294.wav
2693,-101,0,3,2,3,3,2,1,549712,295.wav
2702,-110,0,3,2,2,3,3,1,320336,296.wav
2704,110,0,3,2,2,3,3,1,328528,297.wav
2705,-109,0,3,2,2,3,3,1,320336,298.wav
2712,-110,0,3,2,2,2,3,1,377680,299.wav
2715,-119,0,3,2,2,3,3,1,320336,300.wav
2716,-109,0,3,1,2,3,3,1,320336,301.wav
2717,-109,0,3,2,2,2,3,98930,508752,302.wav
2718,-109,0,11,1,2,3,3,1,328528,303.wav
2719,-109,0,11,2,2,3,3,1,385872,304.wav
2720,-116,0,11,2,0,3,4,1,336720,305.wav
2722,-109,0,3,2,2,3,3,1,713552,306.wav
2724,-109,0,3,2,2,3,3,1,484176,307.wav
2725,-109,0,3,2,2,3,3,350052,631632,308.wav
2726,-109,0,3,2,2,3,3,1,361296,309.wav
2727,-109,0,3,2,2,3,3,1,459600,310.wav
2729,-109,0,3,2,2,2,3,1,402256,311.wav
2735,-109,0,11,2,2,4,3,1,336720,312.wav
2736,-110,0,0,2,2,3,3,1,1147728,313.wav
2737,-110,0,0,2,2,3,3,1,459600,314.wav
2753,-110,0,3,2,2,3,3,1,369488,315.wav
2755,-119,0,11,3,2,3,3,1,582480,316.wav
2764,-109,0,11,2,2,3,3,1,328528,317.wav
2765,-109,0,3,2,2,3,3,1,516944,318.wav
2767,-119,0,3,2,2,3,3,1,451408,319.wav
2774,-118,0,3,2,2,3,3,1,688976,320.wav
2775,-112,0,3,2,2,3,3,1,729936,321.wav
2778,101,0,11,2,2,3,3,1,451408,322.wav
2779,-110,0,11,2,2,4,3,1,328528,323.wav
2781,-109,0,11,2,2,3,3,1,623440,324.wav
2785,-109,0,11,3,2,3,3,1,344912,325.wav
2786,-109,0,12,2,2,0,3,1,328528,326.wav
2802,-109,0,3,2,2,3,3,1,369488,327.wav
2805,-109,0,11,2,2,2,3,1,328528,328.wav
2809,-109,0,11,2,2,3,3,1,344912,329.wav
2811,-112,0,11,2,2,2,3,183269,680784,330.wav
2813,-112,0,11,1,2,3,3,388016,1254224,331.wav
2817,-101,0,11,2,2,3,3,1,369488,332.wav
2832,-109,0,11,2,2,3,4,1,328528,333.wav
2833,-101,0,11,2,2,3,3,1,443216,334.wav
2840,-109,0,11,2,2,3,3,1,394064,335.wav
2842,-116,0,11,2,2,3,3,1,336720,336.wav
2843,-101,0,11,2,2,3,3,1,336720,337.wav
2853,-110,0,3,2,2,3,3,1,467792,338.wav
2856,-101,0,11,2,2,3,3,1,336720,339.wav
2861,-119,0,11,2,1,3,3,1,361296,340.wav
2862,-109,0,11,2,2,3,3,1,451408,341.wav
2863,-109,0,11,2,2,3,3,1,320336,342.wav
2865,-109,0,11,2,2,3,3,1,484176,343.wav
2868,-109,0,11,2,2,3,3,1,435024,344.wav
2869,-101,0,3,2,2,4,3,1,451408,345.wav
2880,-109,0,12,2,2,3,3,1,500560,346.wav
2887,-101,0,11,2,2,3,4,1,385872,347.wav
2897,-101,0,3,2,2,3,3,1,336720,348.wav
2899,-118,0,3,2,2,3,3,82540,672592,349.wav
2900,-118,0,3,2,2,3,3,1,435024,350.wav
2902,-101,0,3,2,2,3,3,1,336720,351.wav
2904,-118,0,3,2,2,3,3,1,369488,352.wav
2905,-118,0,3,2,2,3,3,1,484176,353.wav
2924,-101,0,11,2,2,3,3,1,336720,354.wav
2926,-101,0,11,2,2,3,3,1,320336,355.wav
2964,110,0,12,0,0,3,3,1,320336,356.wav
2965,114,0,11,2,2,3,3,1,435024,357.wav
3020,-119,0,12,2,2,3,3,1,459600,358.wav
3038,118,0,12,2,1,3,2,48166,1590096,359.wav
3076,119,0,12,2,2,3,3,1,607056,360.wav
3107,114,0,11,2,1,3,3,1,918352,361.wav
3108,114,0,11,2,2,3,3,1,705360,362.wav
3145,114,0,12,2,2,3,3,1,328528,363.wav
3213,114,0,11,2,2,3,3,1,508752,364.wav
3246,-114,0,12,2,2,3,3,161749,836432,365.wav
3253,107,0,12,2,2,3,3,1,410448,366.wav
3294,-112,0,12,2,2,3,3,1,353104,367.wav
3298,-112,0,12,2,2,3,3,1,598864,368.wav
3328,114,0,12,2,2,3,3,1,852816,369.wav
3339,107,0,12,2,2,3,3,1,525136,370.wav
3357,109,0,3,2,2,2,3,1,467792,371.wav
3525,101,0,3,2,2,3,3,1,1065808,372.wav
3584,102,0,12,2,2,3,3,1,328528,373.wav
3606,-107,0,3,2,2,3,3,1,770896,374.wav
3612,101,0,3,2,2,3,3,1,435024,375.wav
3643,118,0,3,2,2,3,3,1,533328,376.wav
3669,114,0,11,2,2,3,3,1,566096,377.wav
3705,107,0,12,2,2,3,3,1,557904,378.wav
3740,110,0,11,2,3,3,3,1,484176,379.wav
3757,114,0,3,2,2,3,3,1,328528,380.wav
3767,101,0,11,2,2,3,4,49157,500560,381.wav
3769,101,0,3,2,2,3,3,1,328528,382.wav
3784,-101,0,11,2,2,3,3,1,1180496,383.wav
3786,-118,0,11,2,2,3,3,1,1819472,384.wav
3788,-118,0,11,2,2,3,3,1,664400,385.wav
3790,-114,0,11,2,2,3,3,99959,605312,386.wav
3790,-101,0,11,2,2,3,3,605313,1409872,387.wav
3793,0,0,12,0,0,0,0,1,410448,388.wav
3795,-101,0,11,2,2,3,3,211173,697168,389.wav
3801,-114,0,11,2,3,3,3,1,353104,390.wav
3815,-112,0,11,2,2,3,3,1,508752,391.wav
3820,-114,0,11,2,2,3,3,1,484176,392.wav
3823,-112,0,11,2,2,3,3,1,942928,393.wav
3825,-114,0,11,2,2,3,3,1,1393488,394.wav
3830,-114,0,11,2,2,4,3,1,1655632,395.wav
3838,-119,0,4,2,2,3,3,1,574288,396.wav
3840,-119,0,11,2,2,4,4,1,435024,397.wav
3858,-109,0,11,2,2,3,3,107133,484176,398.wav
3861,109,0,11,2,2,3,3,1,394064,399.wav
3864,-109,0,11,2,2,3,3,1,353104,400.wav
3867,-109,0,11,2,2,3,3,190744,500560,401.wav
3868,109,0,11,2,2,3,3,1,328528,402.wav
3882,-112,0,11,2,3,3,3,1,574288,403.wav
3885,-119,0,11,2,2,3,3,1,426832,404.wav
3889,114,0,11,2,2,3,3,1,549712,405.wav
3894,-110,0,11,2,2,3,3,1,443216,406.wav
3902,-110,0,11,2,2,3,3,1,426832,407.wav
3910,0,0,11,0,0,0,0,440055,811856,408.wav
3912,114,0,11,2,1,3,3,1,394311,409.wav
3912,118,0,11,2,2,3,3,394312,729936,410.wav
3914,118,0,11,2,2,3,3,1,467792,411.wav
3921,-118,0,11,2,1,3,3,1,426832,412.wav
3922,-116,0,12,2,2,3,3,1,410448,413.wav
3924,-110,0,11,2,2,3,3,1,320336,414.wav
3926,-102,0,11,1,2,3,3,1,320336,415.wav
3927,-116,0,11,2,2,3,3,344191,746320,416.wav
3928,-102,0,11,2,2,3,3,1,361296,417.wav
3931,0,0,11,0,0,0,0,1,336720,418.wav
3937,111,0,6,0,0,0,0,1,1385296,419.wav
3939,108,0,6,0,0,0,0,1,320336,420.wav
3940,108,0,6,0,0,0,0,1,361296,421.wav
3946,110,0,11,2,2,3,3,1,336720,422.wav
3948,-110,0,11,2,2,3,3,1,484176,423.wav
3960,110,0,11,2,3,3,3,1,328528,424.wav
3962,0,0,11,0,0,0,0,1,361296,425.wav
3964,-109,0,12,2,0,3,3,1,320336,426.wav
3965,-110,0,11,0,0,0,0,1,607056,427.wav
3967,-114,0,11,2,2,4,3,1,320336,428.wav
3970,0,0,6,0,0,0,0,1,369488,429.wav
3974,-119,0,4,2,2,3,3,1,377680,430.wav
3976,0,0,11,0,0,0,0,1,369488,431.wav
3981,-110,0,11,2,2,3,3,1,320336,432.wav
3988,-102,0,11,2,2,3,3,1,361296,433.wav
3995,-101,0,4,2,2,3,3,1,705360,434.wav
4005,-114,0,11,2,2,3,3,1,753150,435.wav
4005,-118,0,11,2,2,3,3,753151,820048,436.wav
4006,-118,0,11,2,2,3,3,1,566096,437.wav
4007,-118,0,4,2,2,3,3,1,549712,438.wav
4009,-118,0,4,2,2,3,3,1,328528,439.wav
4011,-118,0,4,2,2,3,3,108992,409280,440.wav
4011,-118,0,11,2,2,3,3,409281,1360720,441.wav
4012,-109,0,11,2,3,3,3,1,328528,442.wav
4013,-109,0,11,2,2,3,3,1,385872,443.wav
4014,0,0,1,0,0,0,0,1,361296,444.wav
4015,0,0,1,0,0,0,0,1,361296,445.wav
4016,-110,0,11,2,3,3,3,1,623440,446.wav
4018,-110,0,11,2,2,3,3,1,377680,447.wav
4020,-119,0,11,2,3,3,2,1,320336,448.wav
4021,-101,0,11,2,3,3,3,1,656208,449.wav
4027,-114,0,11,2,2,3,3,1,336720,450.wav
4028,-110,0,12,2,2,3,3,1,475984,451.wav
4030,-119,0,12,2,2,3,3,1,377680,452.wav
4031,-110,0,11,2,2,3,3,1,320336,453.wav
4032,-119,0,11,2,2,3,3,1,377680,454.wav
4033,-119,0,11,2,2,3,3,1,1221456,455.wav
4040,110,0,11,2,2,3,3,1,328528,456.wav
4041,110,0,12,2,2,3,3,1,394064,457.wav
4043,110,0,11,2,2,3,3,1,451408,458.wav
4045,-110,0,11,2,2,3,3,1,369488,459.wav
4047,-119,0,11,2,2,3,3,1,410448,460.wav
4054,-101,0,12,2,2,3,3,1,475984,461.wav
4055,110,0,11,2,2,3,4,1,443216,462.wav
4057,-110,0,11,2,1,3,3,1,369488,463.wav
4071,-110,0,12,2,2,3,3,1,377680,464.wav
4074,-118,0,12,2,2,3,3,1,844624,465.wav
4077,-109,0,11,2,2,3,3,1,451408,466.wav
4078,0,0,11,0,0,0,0,1,418640,467.wav
4081,110,0,12,0,0,0,0,1,598864,468.wav
4082,0,0,12,0,0,0,0,1,336720,469.wav
4088,-101,0,11,2,2,3,3,1,639824,470.wav
4091,-101,0,11,2,2,3,3,1,377680,471.wav
4098,110,0,12,0,0,0,0,1,418640,472.wav
4099,0,0,11,0,0,0,0,1,344912,473.wav
4104,-112,0,12,2,2,3,3,1,328528,474.wav
4107,109,0,12,0,0,0,0,1,336720,475.wav
4110,-112,0,12,2,2,3,3,1,435024,476.wav
4111,-110,0,12,2,2,3,3,1,336720,477.wav
4112,-114,0,12,2,2,3,3,1,459600,478.wav
4115,110,0,12,2,2,3,3,1,975696,479.wav
4116,-101,0,11,2,2,3,3,1,648016,480.wav
4117,119,0,12,0,0,0,0,1,426832,481.wav
4118,119,0,12,2,2,3,3,1,336720,482.wav
4120,-110,0,11,2,2,3,3,1,680784,483.wav
4121,0,0,12,0,0,0,0,1,336720,484.wav
4122,0,0,11,0,0,0,0,1,336720,485.wav
4124,0,0,12,0,0,0,0,1,508752,486.wav
4125,0,0,12,0,0,0,0,1,426832,487.wav
4126,-114,0,11,2,2,3,3,1,385872,488.wav
4130,-114,0,4,2,2,3,3,1,582480,489.wav
4131,-114,0,4,2,2,3,3,1,942928,490.wav
4135,-114,0,12,2,2,3,3,1,525136,491.wav
4137,0,0,12,0,0,0,0,1,385872,492.wav
4138,-101,0,4,2,2,3,3,1,377680,493.wav
4143,-110,0,12,2,2,3,3,1,320336,494.wav
4145,-114,0,11,2,2,3,4,1,344912,495.wav
4150,-101,0,12,2,2,3,3,1,926544,496.wav
4156,110,0,11,0,0,0,0,1,459600,497.wav
4160,110,0,11,0,0,0,0,1,328528,498.wav
4161,110,0,12,2,2,3,3,1,361296,499.wav
4162,-101,0,12,2,2,3,3,1,336720,500.wav
4164,0,0,12,0,0,0,0,1,328528,501.wav
4167,119,0,12,2,2,3,3,1,328528,502.wav
4168,-101,0,12,2,2,3,3,361593,877392,503.wav
