Emitter,File Name,FileID,Addressee,Context,Emitter pre-vocalization action,Addressee pre-vocalization action,Emitter post-vocalization action,Addressee post-vocalization action,Start sample,End sample
216,44874.wav,169110,208,12,2,2,3,3,1,336720
220,25706.wav,96255,224,6,0,0,0,0,1,336720
226,34784.wav,134423,233,11,2,2,3,3,1,475984
226,23620.wav,89140,233,12,2,2,3,3,1,361296
211,52865.wav,191917,221,12,2,3,3,3,1,320336
211,83035.wav,263219,208,12,2,2,3,3,1,508752
231,31327.wav,123515,204,11,2,2,2,3,1,394064
231,58588.wav,207859,208,12,2,2,3,3,1,582480
111,5732.wav,28905,0,6,1,0,4,0,1,533328
230,71055.wav,235561,207,12,2,2,3,3,1,426832
215,85278.wav,267747,208,9,2,2,3,3,1,336720
215,73529.wav,242077,207,12,2,2,3,3,1,459600
210,52546.wav,191068,215,12,2,2,3,3,1,721744
210,69058.wav,232114,207,11,2,2,3,3,1,631632
216,48858.wav,179744,221,12,2,2,3,3,1,320336
215,90700.wav,291302,221,9,2,2,3,3,1,1368912
210,52930.wav,192100,215,2,2,2,3,3,1,320336
111,7504.wav,34425,0,6,2,2,3,3,1,320336
230,69430.wav,232658,207,3,3,0,4,0,1,492368
216,77383.wav,248790,0,12,2,2,3,3,1,328528
231,69309.wav,232429,221,5,2,2,3,3,1,369488
215,54737.wav,196852,207,11,2,2,3,3,300325,770896
215,90675.wav,291227,221,9,2,2,3,3,1,377680
215,56265.wav,199612,220,12,2,2,3,3,1,320336
215,69407.wav,232589,207,3,2,2,3,3,1,320336
215,86990.wav,270899,220,12,2,2,3,3,1,426832
226,19719.wav,73967,233,10,2,2,3,4,1,369488
211,46093.wav,172013,208,4,2,2,3,3,1,770896
215,51398.wav,187028,207,12,2,2,3,3,1,385872
231,41995.wav,160724,208,11,2,2,3,3,1,320336
216,43761.wav,167324,208,12,2,2,3,3,1,500560
230,69712.wav,233075,207,12,2,2,3,3,1,1229648
231,69627.wav,232967,208,12,2,2,3,3,1,926544
215,79095.wav,252586,207,9,2,2,3,3,1,435024
231,48831.wav,179708,221,12,2,2,3,3,1,418640
211,43314.wav,166512,208,9,2,2,3,3,1,344912
226,17028.wav,67475,213,11,2,2,3,3,1,369488
216,23469.wav,88901,0,6,3,0,3,0,1,492368
215,52148.wav,190030,220,11,2,2,3,3,1,369488
111,35769.wav,136806,233,4,2,2,2,3,1,828240
111,8118.wav,36236,0,11,3,2,2,3,1,336720
216,23826.wav,89655,226,6,2,2,3,3,1,516944
216,65391.wav,225500,208,3,2,2,3,3,1,336720
216,89237.wav,274755,221,12,2,2,3,3,1,344912
211,70752.wav,235000,208,2,2,2,3,3,1,344912
215,59951.wav,210500,220,12,2,2,3,3,1,361296
215,87445.wav,271520,208,12,2,2,3,3,1,320336
226,31587.wav,124610,233,11,2,2,3,3,1,557904
111,33753.wav,131224,233,11,2,1,3,3,1,598864
228,15619.wav,63435,233,11,3,2,2,3,1,598864
231,85400.wav,267993,208,11,2,2,3,3,1,377680
230,78432.wav,251304,0,12,2,2,3,3,1,320336
215,63993.wav,220895,220,12,2,2,3,3,1,328528
216,58894.wav,208453,231,12,2,2,3,3,351845,729936
216,44891.wav,169129,211,12,2,2,3,3,341107,529628
220,43721.wav,167268,215,7,2,2,3,3,1,328528
216,79884.wav,255075,231,12,2,2,3,3,1,426832
211,90231.wav,289541,221,9,2,2,3,3,1,320336
211,29646.wav,113235,205,6,1,2,3,3,1,328528
216,76115.wav,246540,208,3,0,0,3,2,1,320336
216,26235.wav,97742,0,6,2,0,2,0,1,353104
215,54740.wav,196855,207,12,2,2,3,3,140306,325152
210,71884.wav,237320,207,12,2,2,3,3,1,328528
230,73057.wav,240979,207,4,2,2,3,3,1,836432
226,27841.wav,107506,233,10,2,3,3,3,1,992080
216,45062.wav,169566,221,12,2,2,3,3,1,328528
111,32081.wav,125825,228,11,2,2,3,2,1,459600
210,71687.wav,236883,207,12,2,2,3,3,1,328528
230,39910.wav,155960,207,12,2,3,3,4,1,336720
216,90082.wav,288874,221,11,2,3,3,3,1,541520
230,85653.wav,268574,207,12,2,2,3,3,1,320336
231,56853.wav,200611,208,12,2,2,3,3,1,320336
231,64852.wav,223560,208,12,2,2,3,3,1,328528
215,87112.wav,271073,220,12,2,2,3,3,1,451408
226,29604.wav,113094,233,11,1,2,3,3,1,1418064
231,49875.wav,183100,208,12,2,2,3,3,1,320336
226,13134.wav,56659,233,12,2,2,3,3,1,656127
230,76958.wav,247750,207,12,2,2,3,3,1,484176
230,76676.wav,247310,207,11,2,2,3,3,1,320336
230,72969.wav,240845,220,3,2,2,3,3,1,320336
216,53370.wav,192995,0,12,2,2,3,3,1,320336
215,84975.wav,267025,208,11,2,2,4,3,1,516944
231,42688.wav,162793,221,12,2,2,3,3,1,328528
215,39911.wav,155961,230,12,2,2,3,3,1,328528
210,68937.wav,231948,207,11,2,2,4,4,1,328528
215,84951.wav,266914,220,11,2,3,2,3,1,492368
211,34071.wav,132767,205,6,3,2,3,3,1,328528
215,52886.wav,191974,207,12,2,2,3,3,1,336720
211,64548.wav,223001,208,12,2,2,3,3,1,328528
215,85287.wav,267767,208,9,2,2,3,3,1,787280
215,82435.wav,262181,211,12,2,2,3,3,1,328528
220,63101.wav,216835,210,12,2,2,3,3,1,336720
215,82368.wav,262051,220,12,2,2,3,3,1,328528
216,44875.wav,169111,221,12,2,2,3,3,1,394064
211,80907.wav,258094,231,12,2,2,3,3,1,336720
228,17694.wav,69421,233,4,2,3,3,3,1,505807
216,42216.wav,161998,231,12,2,2,3,3,365516,639824
231,25702.wav,96249,204,11,2,2,3,3,1,738128
220,77843.wav,249704,207,12,2,2,3,3,1,328528
215,57104.wav,201047,207,11,2,2,3,3,1,484176
216,23387.wav,88553,226,6,1,2,4,3,1,893776
226,22401.wav,85391,233,12,2,2,3,3,1,484176
228,17812.wav,69773,233,11,2,2,2,4,491309,1622864
230,73276.wav,241556,220,2,2,2,3,3,1,328528
231,72026.wav,237678,208,12,2,2,3,3,1,344912
215,83233.wav,263574,208,12,2,2,2,3,1,557904
215,82650.wav,262604,231,12,2,2,3,3,1,328528
216,54827.wav,197016,221,11,3,3,4,3,1,320336
210,42203.wav,161978,220,12,2,2,3,3,1,541520
211,72667.wav,238940,216,12,2,2,3,3,303732,574288
215,60874.wav,212051,207,12,2,2,3,3,1,336720
230,67094.wav,228397,215,12,2,2,3,3,1,369488
231,47972.wav,177370,221,12,2,2,3,3,1,361296
216,40399.wav,157440,221,9,2,2,3,3,1,320336
210,58124.wav,206308,215,12,2,2,3,3,1,328528
211,52672.wav,191404,208,12,2,2,3,3,1,328528
211,27036.wav,101145,0,6,2,0,2,0,1,353104
226,19123.wav,72848,233,11,1,2,3,3,1,385872
111,21133.wav,80075,226,3,2,2,2,3,1,795472
216,44870.wav,169105,208,12,2,2,3,3,1,500560
215,87709.wav,271971,231,12,2,2,3,3,1,336720
215,73265.wav,241522,207,9,2,2,3,3,1,320336
230,73087.wav,241051,207,12,2,2,3,3,1,369488
215,58610.wav,207896,220,2,2,2,3,3,1,484176
216,73427.wav,241791,208,12,2,2,3,3,1,377680
111,7562.wav,34647,0,6,3,0,4,0,223713,516944
230,77747.wav,249522,207,2,2,2,3,3,1,328528
230,81037.wav,258428,220,9,2,2,3,3,1,557904
230,73466.wav,241871,220,12,2,2,3,3,1,336720
215,77171.wav,248092,207,9,2,2,3,3,1,328528
231,72992.wav,240878,221,3,2,2,3,3,1,344912
111,4857.wav,24767,0,6,0,0,0,0,301713,590672
210,68935.wav,231945,207,3,2,2,3,3,1,402256
230,80033.wav,255891,215,12,2,2,3,3,1,369488
215,80878.wav,258047,207,12,2,2,3,3,1,721744
231,44003.wav,167702,216,12,2,2,3,3,1,320336
210,76447.wav,246959,207,12,2,2,3,3,1,320336
215,87446.wav,271521,208,10,2,2,3,3,1,369488
215,73091.wav,241055,230,12,2,2,3,3,1,320336
215,90692.wav,291266,221,9,2,2,3,3,1,1123152
216,78279.wav,250833,0,12,2,2,3,3,1,803664
230,41676.wav,160238,207,12,2,2,4,3,1,328528
226,19859.wav,74568,233,11,2,2,3,3,1,1721168
231,75272.wav,245266,208,11,2,2,3,3,173827,664400
216,78112.wav,250446,221,12,2,2,3,3,1,484176
231,53068.wav,192381,0,12,2,2,3,3,1,336720
215,41436.wav,159795,210,12,3,2,3,3,1,320336
216,70156.wav,233883,231,12,2,2,3,3,1,328528
211,60326.wav,211069,208,12,2,2,3,3,1,320336
231,47965.wav,177345,208,12,2,2,3,3,1,451408
215,68690.wav,231527,207,12,2,2,3,3,1,443216
230,75830.wav,246176,220,7,2,2,3,3,1,328528
215,70464.wav,234587,220,11,2,2,3,3,1,336720
111,7324.wav,33649,0,6,0,0,0,0,1,336720
215,45240.wav,169880,220,12,2,2,3,3,1,336720
231,82132.wav,261656,208,12,2,2,3,3,1,582480
215,40859.wav,158758,207,12,2,2,3,3,1,353104
215,78414.wav,251254,207,9,2,2,3,3,1,394064
215,78078.wav,250365,207,9,2,2,3,3,1,811856
210,65555.wav,225758,207,4,2,2,3,3,1,492368
216,22296.wav,85209,226,6,2,2,3,3,1,320336
215,41789.wav,160406,230,12,2,2,3,3,1,320336
231,76307.wav,246794,221,12,2,2,3,3,1,328528
215,55889.wav,198979,220,12,2,2,3,3,1,320336
211,76083.wav,246493,208,12,2,2,3,3,1,328528
231,76178.wav,246616,208,11,2,2,3,3,1,328528
216,24395.wav,91575,0,6,2,0,3,0,1,336720
230,80128.wav,256411,215,3,2,2,3,3,238117,344912
211,28719.wav,110102,0,6,3,0,3,0,1,344912
220,71629.wav,236731,207,3,2,2,3,3,1,533328
216,46506.wav,173328,208,12,2,2,4,3,102560,475984
215,71888.wav,237327,220,12,2,2,3,3,1,566096
231,64803.wav,223480,208,12,2,2,3,3,1,467792
228,19523.wav,73534,233,12,2,2,3,3,1,934736
211,46923.wav,174506,221,12,2,2,3,3,1,328528
211,60879.wav,212063,231,12,2,2,3,3,1,525136
215,45498.wav,170426,207,12,2,2,3,3,1,385872
215,83951.wav,264758,208,12,2,2,2,3,1,344912
215,60336.wav,211078,230,12,2,2,3,3,1,320336
215,71833.wav,237206,220,12,2,2,3,3,1,320336
231,81053.wav,258482,208,11,2,2,3,3,1,418640
231,47093.wav,175015,221,12,2,2,3,3,426567,705360
215,61508.wav,213310,220,12,2,2,3,3,1,500560
230,41306.wav,159536,220,12,2,2,3,3,1,328528
211,27767.wav,107182,0,6,2,0,3,0,1,328528
230,87582.wav,271830,207,2,2,2,3,3,1,328528
215,59351.wav,209199,207,12,2,2,3,3,1,320336
230,38669.wav,150352,207,12,2,2,3,3,1,353104
211,28589.wav,109688,0,6,2,0,3,0,1,328528
215,70720.wav,234961,207,12,2,2,3,3,1,484176
228,27570.wav,106445,233,11,2,2,3,3,1,779088
211,66146.wav,226699,208,12,2,2,3,3,1,426832
211,61700.wav,213712,208,12,2,2,3,3,1,557904
226,13404.wav,57120,0,12,2,2,3,3,1,639824
226,36433.wav,140201,233,11,2,2,3,3,1,467792
